ID PUMS Occupation,PUMS Occupation,Average Wage (2014),Average Wage (2015),Average Wage (2016),Average Wage (2017),Average Wage (2018),Average Wage (2019),Average Wage Appx MOE (2014),Average Wage Appx MOE (2015),Average Wage Appx MOE (2016),Average Wage Appx MOE (2017),Average Wage Appx MOE (2018),Average Wage Appx MOE (2019)
"113071","Transportation, storage, & distribution managers",51712.75831987076,51941.72656156673,55301.28362874614,54224.72970426161,55072.09245998168,57712.12726828795,2011.3148710138837,2022.805019366727,2249.0189680162753,2296.745110840898,2067.698248234182,2091.4133618499295
"113111","Compensation & benefits managers",82599.10295996592,73471.13477272727,73691.00572272476,72303.54319838685,92316.07634205557,80481.00132125331,17895.40481603046,9512.043678254238,10794.347874367473,9993.985925715382,16110.731764360058,9797.81256280481
"113121","Human resources managers",68288.16764801583,70938.10090675842,71321.48436669032,73957.14976468802,76947.73564869937,84767.80756178976,2542.7925171217976,2446.499703918144,2450.374279706388,2421.411789275777,2803.252538907293,3451.582793766634
"113131","Training & development managers",64519.11887818586,65031.66075149903,65813.49463422304,65247.59773378254,70116.0165718563,75084.79653501083,5115.8793411032875,5859.904484978546,5872.829684720965,5196.818303885632,4998.824936769031,5912.977277419287
"119013","Farmers, ranchers, & other agricultural managers",18615.943516759813,19382.07423571287,21236.101966521168,23603.63028121159,21252.144126614123,22055.683576767857,1256.3591642253843,1295.0397573629546,1374.7722790368953,1619.973337941244,1423.775749524152,1424.8296660625138
"119021","Construction managers",57467.89651217123,59456.77246942748,61729.6245324715,62180.73008230736,67899.79066544579,67836.59988785489,1786.1598796638361,1855.006029841856,1894.7828315547836,1815.6542042170436,1944.6868670822746,1739.2201024653843
"119030","Education administrators",59057.52754793256,59340.31453032728,61143.71417025837,63712.68751530574,64419.02852602772,65567.10566724376,1271.9667260716972,1289.6242271338033,1318.3073090918983,1383.7706944239699,1344.778911583353,1325.977911147842
"119041","Architectural & engineering managers",128217.3528066856,130907.59004541075,133057.38904106428,136008.64871377984,140732.95551132763,152597.54781523865,5812.541765535063,5786.9038696301695,5818.330983534553,5811.819897084722,6034.224387480418,6425.815650396452
"119051","Food service managers",34698.8272477185,34796.88044229258,36197.85044793228,38541.492029329755,37639.79599651765,38642.1731126827,996.4443022855547,941.41210384275,1007.326436242685,1117.4335487540502,1037.8943569601984,1103.9882534974975
"119070","Entertainment and recreation managers",,,,,49636.583476051834,47219.41640849867,,,,,5494.295808637824,6059.269411700419
"119081","Lodging managers",41789.51866404715,41388.594249032714,44577.295681579424,46507.492245087924,48776.94917392611,48351.93812025365,3728.2545859040906,3059.0260533702267,3277.9767731247966,3419.4093176062975,3957.5339026152656,3119.9856755809164
"119111","Medical & health services managers",73106.5751790838,73398.55817128677,76092.50783300136,74458.19408075185,75945.96025874224,77913.77295467521,2071.826357508318,2095.36735733712,2026.8917977819142,1965.7692741460864,2078.9534150895447,2044.34430132697
"119121","Natural sciences managers",81124.3964038017,86888.04369155939,87930.21092037228,93935.66784662966,83959.11203713472,92082.36763930813,13317.409823985921,14551.309614517713,11559.973407773352,13874.626500711855,12613.577112370358,17195.623026307923
"119141","Property, real estate, & community association managers",47675.657059834164,49141.07278862546,51548.208515172206,51516.52931323507,53362.17899750008,54555.117844966255,2015.025187027321,1985.828676843518,2120.17403911565,2000.3155509474961,2155.431334314231,2197.490291832184
"119151","Social & community service managers",50785.4686455161,51286.114899524684,53858.63788974993,55536.70844633011,57514.855751586634,56114.63653561492,1896.752294112557,1901.2895916971363,1955.36902069892,1912.0312223847623,2210.397453035015,1825.1751338914394
