,Insitution
3468,Emory & Henry College
3469,Eastern Mennonite University
3470,Eastern Shore Community College
3471,Ferrum College
3472,George Mason University
3473,Germanna Community College
3474,Hampden-Sydney College
3475,Hampton University
3476,Hollins University
3477,J Sargeant Reynolds Community College
3478,James Madison University
3479,John Tyler Community College
3480,Liberty University
3481,Longwood University
3482,Lord Fairfax Community College
3483,University of Lynchburg
3484,Centra College
3485,Mary Baldwin University
3486,University of Mary Washington
3487,Marymount University
3488,Sovah School of Health Professions
3489,Mountain Empire Community College
3490,American National University
3491,New River Community College
3492,Sentara College of Health Sciences
3493,Tidewater Tech-Trades
3494,Norfolk State University
3495,Northern Virginia Community College
3496,Old Dominion University
3497,Patrick Henry Community College
3498,Paul D Camp Community College
3499,Southside College of Health Sciences
3500,Piedmont Virginia Community College
3501,Radford University
3502,Sylvain Melloul International Hair Academy
3503,Randolph-Macon College
3504,Randolph College
3505,Rappahannock Community College
3506,Fortis College-Norfolk
3507,Richard Bland College
3508,Bon Secours Memorial College of Nursing
3509,University of Richmond
3510,Riverside College of Health Careers
3511,Roanoke College
3512,Bon Secours St Mary's Hospital School of Medical Imaging
3513,Shenandoah University
3514,Southeastern Free Will Baptist Bible College
3515,Southern Virginia University
3516,Southside Virginia Community College
3517,Southwest Virginia Community College
3518,Staunton School of Cosmetology
3519,Strayer University-Virginia
3520,Sweet Briar College
3521,Thomas Nelson Community College
3522,Tidewater Community College
3523,Union Presbyterian Seminary
3524,The University of Virginia's College at Wise
3525,Virginia Highlands Community College
3526,Virginia Polytechnic Institute and State University
3527,Virginia Western Community College
3528,Virginia Commonwealth University
3529,University of Virginia-Main Campus
3530,Virginia Military Institute
3531,Asher Institute of Hampton
3532,Virginia University of Lynchburg
3533,Virginia State University
3534,Virginia Union University
3535,Virginia Wesleyan University
3536,Washington and Lee University
3537,Wytheville Community College
3538,Bellevue College
3539,Bellingham Technical College
3540,Big Bend Community College
3541,Central Washington University
3542,Centralia College
3543,City University of Seattle
3544,Paul Mitchell the School-Richland
3545,Clark College
3546,Clover Park Technical College
3547,Columbia Basin College
3548,Cornish College of the Arts
3549,Divers Institute of Technology
3550,Eastern Washington University
3551,Edmonds College
3552,Everett Community College
3553,Paroba College of Cosmetology
3554,The Evergreen State College
3555,Pierce College District
3556,Glen Dow Academy of Hair Design
3557,Gonzaga University
3558,Grays Harbor College
3559,Green River College
3560,Toni & Guy Hairdressing Academy-Shoreline
3561,Heritage University
3562,Highline College
3563,International Air and Hospitality Academy
3564,Bastyr University
3565,Highlights Beauty Schools
3566,Bates Technical College
3567,Lake Washington Institute of Technology
3568,Lower Columbia College
3569,BJ's Beauty & Barber College
3570,North Seattle College
3571,Northwest University
3572,Olympic College
3573,Perry Technical Institute
3574,Pacific Lutheran University
3575,Peninsula College
3576,University of Puget Sound
3577,Renton Technical College
3578,Saint Martin's University
3579,South Seattle College
3580,Seattle Central College
3581,Seattle Pacific University
3582,Seattle University
3583,Shoreline Community College
3584,Skagit Valley College
3585,South Puget Sound Community College
3586,Spokane Community College
3587,Spokane Falls Community College
3588,Stylemaster College of Hair Design
3589,Tacoma Community College
3590,Walla Walla Community College
3591,Walla Walla University
3592,Washington State University
3593,University of Washington-Seattle Campus
3594,Wenatchee Valley College
3595,Western Washington University
3596,Whatcom Community College
3597,Whitman College
3598,Whitworth University
3599,Yakima Valley College
3600,Alderson Broaddus University
3601,Appalachian Beauty School
3602,Appalachian Bible College
3603,B M Spurr School of Practical Nursing
3604,Ben Franklin Career Center
3605,Bluefield State College
3606,Cabell County Career Technology Center
3607,Charleston School of Beauty Culture
3608,University of Charleston
3609,Clarksburg Beauty Academy and School of Massage Therapy
3610,Concord University
3611,Davis & Elkins College
3612,Fairmont State University
3613,Glenville State College
3614,Huntington Junior College
3615,James Rumsey Technical Institute
3616,Ralph R Willis Career and Technical Center
3617,Marshall University
3618,Mercer County Technical Education Center
3619,Meredith Manor International Equestrian Center
3620,Monongalia County Technical Education Center
3621,Morgantown Beauty College Inc
3622,Mountain State College
3623,Ohio Valley University
3624,West Virginia University at Parkersburg
3625,Potomac State College of West Virginia University
3626,Academy of Careers and Technology
3627,Salem University
3628,Shepherd University
3629,Southern West Virginia Community and Technical College
3630,Fred W Eberle Technical Center
3631,West Virginia School of Osteopathic Medicine
3632,West Virginia State University
3633,West Virginia University Hospital Departments of Rad Tech and Nutrition
3634,West Liberty University
3635,West Virginia University Institute of Technology
3636,West Virginia Wesleyan College
3637,West Virginia Junior College-Charleston
3638,West Virginia Junior College-Morgantown
3639,International Beauty School 4
3640,West Virginia Northern Community College
3641,West Virginia University
3642,Wheeling University
3643,Wood County School of Practical Nursing
3644,VICI Beauty School
3645,Alverno College
3646,Madison Area Technical College
3647,Bellin College
3648,Beloit College
3649,Blackhawk Technical College
3650,Cardinal Stritch University
3651,Carroll University
3652,Carthage College
3653,Columbia College of Nursing
3654,Concordia University-Wisconsin
3655,Edgewood College
3656,Fox Valley Technical College
3657,Gateway Technical College
3658,The Professional Hair Design Academy
3659,Lakeland University
3660,Lakeshore Technical College
3661,Lawrence University
3662,Maranatha Baptist University
3663,Marquette University
3664,Medical College of Wisconsin
3665,Mid-State Technical College
3666,Milwaukee Area Technical College
3667,Milwaukee Institute of Art & Design
3668,Milwaukee School of Engineering
3669,Moraine Park Technical College
3670,Mount Mary University
3671,Nashotah House
3672,Nicolet Area Technical College
3673,Northcentral Technical College
3674,Northeast Wisconsin Technical College
3675,Northland College
3676,Ripon College
3677,Sacred Heart Seminary and School of Theology
3678,Saint Norbert College
3679,Holy Family College
3680,State College of Beauty Culture Inc
3681,Southwest Wisconsin Technical College
3682,Viterbo University
3683,Chippewa Valley Technical College
3684,Waukesha County Technical College
3685,University of Wisconsin-Whitewater
3686,Wisconsin Indianhead Technical College
3687,Wisconsin School of Professional Psychology
3688,University of Wisconsin-Eau Claire
3689,University of Wisconsin-Green Bay
3690,University of Wisconsin-La Crosse
3691,Wisconsin Lutheran College
3692,University of Wisconsin-Oshkosh
3693,University of Wisconsin-Parkside
3694,Herzing University-Madison
3695,University of Wisconsin-Stout
3696,University of Wisconsin-Superior
3697,University of Wisconsin-System Administration
3698,University of Wisconsin-Madison
3699,University of Wisconsin-Milwaukee
3700,University of Wisconsin-Platteville
3701,University of Wisconsin-River Falls
3702,University of Wisconsin-Stevens Point
3703,Casper College
3704,Central Wyoming College
3705,Eastern Wyoming College
3706,Laramie County Community College
3707,Northwest College
3708,Northern Wyoming Community College District
3709,Western Wyoming Community College
3710,Cheeks Beauty Academy
3711,WyoTech
3712,University of Wyoming
3713,American Samoa Community College
3714,Guam Community College
3715,University of Guam
3716,Northern Marianas College
3717,Institute of Beauty Careers
3718,Educational Technical College-Recinto de Bayamon
3719,American University of Puerto Rico
3720,American Educational College
3721,Antilles School of Technical Careers
3722,Universidad Adventista de las Antillas
3723,Atlantic University College
3724,Universidad Central de Bayamon
3725,Columbia Central University-Caguas
3726,Albizu University-San Juan
3727,Caribbean University-Bayamon
3728,Caribbean University-Carolina
3729,Pontifical Catholic University of Puerto Rico-Arecibo
3730,Pontifical Catholic University of Puerto Rico-Ponce
3731,CEM College-San Juan
3732,Universidad Teologica del Caribe
3733,Colegio Universitario de San Juan
3734,Universidad Ana G. Mendez-Cupey Campus
3735,Conservatory of Music of Puerto Rico
3736,Center for Advanced Studies On Puerto Rico and the Caribbean
3737,EDP University of Puerto Rico Inc-San Sebastian
3738,Emma's Beauty Academy-Mayaguez
3739,Escuela de Artes Plasticas y Diseno de Puerto Rico
3740,Instituto Tecnologico de Puerto Rico-Recinto de Manati
3741,Sistema Universitario Ana G. Mendez
3742,Huertas College
3743,Humacao Community College
3744,ICPR Junior College-Arecibo
3745,ICPR Junior College-Mayaguez
3746,Richport Technical College
3747,Instituto de Banca y Comercio Inc
3748,Instituto Tecnologico de Puerto Rico-Recinto de Guayama
3749,Instituto Tecnologico de Puerto Rico-Recinto de Ponce
3750,Instituto Tecnologico de Puerto Rico-Recinto de San Juan
3751,Inter American University of Puerto Rico-San German
3752,Inter American University of Puerto Rico-Aguadilla
3753,Inter American University of Puerto Rico-Arecibo
3754,Inter American University of Puerto Rico-Barranquitas
3755,Inter American University of Puerto Rico-Metro
3756,Inter American University of Puerto Rico-Ponce
3757,Inter American University of Puerto Rico-Central Office
3758,Inter American University of Puerto Rico-Fajardo
3759,Inter American University of Puerto Rico-Guayama
3760,Inter American University of Puerto Rico-Bayamon
3761,Inter American University of Puerto Rico-School of Law
3762,International Technical College
3763,Liceo de Arte y Tecnologia
3764,Modern Hairstyling Institute-Bayamon
3765,Modern Hairstyling Institute-Arecibo
3766,NUC University
3767,Ponce Health Sciences University
3768,University of Puerto Rico-Aguadilla
3769,University of Puerto Rico-Arecibo
3770,University of Puerto Rico-Bayamon
3771,University of Puerto Rico-Carolina
3772,University of Puerto Rico-Cayey
3773,University of Puerto Rico-Central Administration
3774,University of Puerto Rico-Humacao
3775,University of Puerto Rico-Utuado
3776,University of Puerto Rico-Mayaguez
3777,University of Puerto Rico-Medical Sciences
3778,University of Puerto Rico-Ponce
3779,University of Puerto Rico-Rio Piedras
3780,Universidad Ana G. Mendez-Carolina Campus
3781,Universidad del Sagrado Corazon
3782,Seminario Evangelico de Puerto Rico
3783,Universidad Central Del Caribe
3784,Universidad Politecnica de Puerto Rico
3785,Pontifical Catholic University of Puerto Rico-Mayaguez
3786,Universidad Ana G. Mendez-Gurabo Campus
3787,College of Micronesia-FSM
3788,Palau Community College
3789,University of the Virgin Islands
3790,Stanford University
3791,Purdue University-Main Campus
3792,Blue Hills Regional Technical School
3793,Parker University
3794,EDP University of Puerto Rico Inc-San Juan
3795,ICPR Junior College
3796,City College-Fort Lauderdale
3797,Meridian College
3798,Georgia State University-Perimeter College
3799,Georgia Piedmont Technical College
3800,ETI School of Skilled Trades
3801,Traxlers School of Hair
3802,Warren County Community College
3803,Bais Medrash Elyon
3804,Antioch University-Los Angeles
3805,Antioch University-Santa Barbara
3806,Antioch University-New England
3807,Antioch University-Seattle
3808,Antioch University-Midwest
3809,Mid-America Christian University
3810,Platt College
3811,Ponca City Beauty College
3812,Francis Tuttle Technology Center
3813,Central Technology Center
3814,Carrington College-Portland
3815,Career Technology Center of Lackawanna County
3816,Houston Graduate School of Theology
3817,Palo Alto College
3818,Sebring Career Schools-Huntsville
3819,UCAS University of Cosmetology Arts & Sciences-San Antonio 410
3820,Central Texas Beauty College-Round Rock
3821,Unification Theological Seminary
3822,Athens Technical College
3823,GateWay Community College-Central City
3824,Carrington College-San Leandro Campus
3825,Headmasters School of Hair Design
3826,The Salon Professional Academy-Nampa
3827,Beckfield College-Florence
3828,University of Louisiana-System Administration
3829,Dorsey School of Business-Wayne
3830,Ecumenical Theological Seminary
3831,Ross Medical Education Center-Saginaw
3832,Sussex County Community College
3833,Landmark College
3834,Mississippi Community College Board
3835,Yeshiva Gedolah of Greater Detroit
3836,Austin Graduate School of Theology
3837,Collin County Community College District
3838,Owensboro Community and Technical College
3839,Jenny Lea Academy of Cosmetology
3840,Empire Beauty School-Hurstborne
3841,Cloyd's Beauty School 3 Inc
3842,Moore Norman Technology Center
3843,Fayette County Career & Technical Institute Practical Nursing Program
3844,Franklin County Career and Technology Center
3845,Paul Mitchell the School-Knoxville
3846,Ogle School Hair Skin Nails-Hurst
3847,Tennessee College of Applied Technology Nashville
3848,ECPI University
3849,Ms Roberts Academy of Beauty Culture
3850,Branford Hall Career Institute-Jersey City
3851,Paul Mitchell the School-Houston
3852,TDDS Technical Institute
3853,Fortis Institute-Forty Fort
3854,Laurel Business Institute
3855,Aviation Institute of Maintenance-Philadelphia
3856,Dorsey School of Business-Roseville
3857,Moler-Pickens Beauty Academy
3858,Red River Technology Center
3859,Southern Union State Community College
3860,South University-Columbia
3861,Clinton Technical School
3862,Greene County Career and Technology Center
3863,Lac Courte Oreilles Ojibwe College
3864,Diesel Driving Academy-Shreveport
3865,Pima Medical Institute-Mesa
3866,Platt College-Los Angeles
3867,Platt College-Aurora
3868,Paul Mitchell the School-Boise
3869,Educators of Beauty College of Cosmetology-Rockford
3870,Douglas J Aveda Institute
3871,Ross Medical Education Center-Brighton
3872,Ross Medical Education Center-Ann Arbor
3873,Taylortown School of Beauty Inc
3874,Pike-Lincoln Technical Center
3875,West Virginia Junior College-United Career Institute
3876,Bethel Seminary-San Diego
3877,St Charles Community College
3878,Brandman University
3879,New College of Florida
3880,Montana Bible College
3881,Conservatory of Recording Arts and Sciences
3882,Adrian's College of Beauty Turlock
3883,California Career School
3884,San Joaquin Valley College-Fresno
3885,Dr. Ida Rolf Institute
3886,Sunstate Academy
3887,Elizabeth Grady School of Esthetics and Massage Therapy
3888,Ross Medical Education Center-Port Huron
3889,Capri Institute of Hair Design-Clifton
3890,Raphael's School of Beauty Culture Inc-Alliance
3891,Metro Technology Centers
3892,Hussian College-Daymar College Bowling Green
3893,Luna Community College
3894,Grabber School of Hair Design
3895,Yeshivah Gedolah Rabbinical College
3896,University of the District of Columbia-David A Clarke School of Law
3897,Raphael's School of Beauty Culture Inc-Brunswick
3898,Caribbean University-Ponce
3899,Caribbean University-Vega Baja
3900,University of Advancing Technology
3901,Paradise Valley Community College
3902,Chandler-Gilbert Community College
3903,Great Plains Technology Center
3904,Roane-Jackson Technical Center
3905,Pioneer Technology Center
3906,Portage Lakes Career Center
3907,Eastern College of Health Vocations-New Orleans
3908,Bell Mar Beauty College
3909,Caddo Kiowa Technology Center
3910,"Center for Instruction, Technology & Innovation"
3911,International School of Skin Nailcare & Massage Therapy
3912,Palomar Institute of Cosmetology
3913,Southern Oklahoma Technology Center
3914,Vista College
3915,Autry Technology Center
3916,Greene County Vocational School District
3917,Canadian Valley Technology Center
3918,Wilkes-Barre Area Career and Technical Center Practical Nursing
3919,Meridian Technology Center
3920,Waynesville Career Center
3921,Capitol School of Hairstyling and Esthetics
3922,Morris County Vocational School District
3923,Ross Medical Education Center-Roosevelt Park
3924,Ross Medical Education Center-Kentwood
3925,South Florida Bible College and Theological Seminary
3926,Cloyd's Barber School 2 Inc
3927,Universal Technical Institute of Illinois Inc
3928,Pennsylvania College of Technology
3929,Commonwealth Institute of Funeral Service
3930,Delta College of Arts & Technology
3931,InterCoast Colleges-Santa Ana
3932,Stone Child College
3933,New York Academy of Art
3934,Suffolk County Community College
3935,Las Positas College
3936,Blades School of Hair Design
3937,Ogeechee Technical College
3938,Remington College-Mobile Campus
3939,Southern Technical College
3940,Mercy-St Luke's School of Radiologic Technology
3941,Southwest Acupuncture College-Santa Fe
3942,Northwest Technology Center-Alva
3943,Mercer County Career Center
3944,California State University-San Marcos
3945,Hairmasters Institute of Cosmetology
3946,Tricoci University of Beauty Culture LLC-Bloomington
3947,Interactive College of Technology-Newport
3948,Platt College-McCann-Monroe
3949,Ross Medical Education Center-Taylor
3950,National Tractor Trailer School Inc-Liverpool
3951,Interactive College of Technology
3952,Butler Beauty Academy-New Castle Beauty Academy
3953,NorthWest Arkansas Community College
3954,Brewster Technical College
3955,Hodges University
3956,University of St. Augustine for Health Sciences
3957,Capital Area School of Practical Nursing
3958,Alexandria School of Scientific Therapeutics
3959,Empire Beauty School-Bloomfield
3960,Southwest Technology Center
3961,Western Area Career & Technology Center
3962,Hussian College-Daymar College Clarksville
3963,Nossi College of Art
3964,Seguin Beauty School-New Braunfels
3965,Pima Medical Institute-Seattle
3966,Mineral County Vocational Technical Center
3967,Hypnosis Motivation Institute
3968,Thanh Le College School of Cosmetology
3969,Southeastern Technical College
3970,Massachusetts School of Law
3971,Alliance Career Center
3972,Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando
3973,Erwin Technical College
3974,Rosel School of Cosmetology
3975,Worsham College of Mortuary Science
3976,Oregon College of Oriental Medicine
3977,Central Pennsylvania Institute of Science and Technology
3978,Northwest Educational Center
3979,Sebring Career Schools-Houston
3980,PCI Health Training Center
3981,Hamrick School
3982,Alabama State College of Barber Styling
3983,Fortis College
3984,Downey Adult School
3985,CRU Institute of Cosmetology and Barbering
3986,Modern Technology School
3987,National Career Education
3988,North-West College-Glendale
3989,Fremont College
3990,Pomona Unified School District Adult and Career Education
3991,Universal College of Beauty Inc-Los Angeles 2
3992,IBMC College
3993,Avalon School of Cosmetology-Aurora
3994,Academy of Cosmetology
3995,Fortis College-Smyrna
3996,Ross College-Quad Cities
3997,Pivot Point Academy
3998,Blalock's Professional Beauty College
3999,Diesel Driving Academy-Baton Rouge
4000,New England Hair Academy
4001,Rob Roy Academy-Worcester
4002,Upper Cape Cod Regional Technical School
4003,All-State Career-Baltimore
4004,Adler Graduate School
4005,Academy of Hair Design-Jackson
4006,KC's School of Hair Design
4007,Lincoln Technical Institute-Moorestown
4008,MCVSD
4009,Continental School of Beauty Culture-Olean
4010,National Tractor Trailer School Inc-Buffalo
4011,Yeshiva Gedolah Imrei Yosef D'spinka
4012,Knox County Career Center
4013,Madison Adult Career Center
4014,Remington College-Cleveland Campus
4015,Toledo Academy of Beauty Culture-East
4016,U S Grant Joint Vocational School
4017,Chisholm Trail Technology Center
4018,Gordon Cooper Technology Center
4019,Kiamichi Technology Center-McAlester
4020,YTI Career Institute-Altoona
4021,Eastern Center for Arts and Technology
4022,Empire Beauty School-Center City Philadelphia
4023,CEM College-Humacao
4024,Colegio Mayor de Tecnologia Inc
4025,Institucion Chaviano de Mayaguez
4026,EDIC College
4027,Liceo de Arte-Dise-O y Comercio
4028,Universal Technology College of Puerto Rico
4029,Academy of Hair Technology
4030,Mr Wayne's School of Unisex Hair Design
4031,Queen City College
4032,College of the Marshall Islands
4033,Remington College-Fort Worth Campus
4034,UCAS University of Cosmetology Arts & Sciences
4035,School of Automotive Machinists & Technology
4036,Nuvani Institute
4037,Texas College of Cosmetology-Abilene
4038,Vista College-Online
4039,Centura College-Newport News
4040,Centura College-Norfolk
4041,Virginia Beach City Public Schools School of Practical Nursing
4042,Northwest College of Art & Design
4043,University of Washington-Bothell Campus
4044,University of Washington-Tacoma Campus
4045,Huntington School of Beauty Culture
4046,Valley College-Beckley
4047,Valley College-Martinsburg
4048,Bellus Academy-Poway
4049,Capstone College
4050,Central Coast College
4051,Pacific College of Health and Science
4052,Artistic Nails and Beauty Academy-Tampa
4053,National Aviation Academy of Tampa Bay
4054,Madison Oneida BOCES-Practical Nursing Program
4055,College of Health Care Professions (The)
4056,Center for Advanced Legal Studies
4057,Houston Training School-Main Campus
4058,Bay Mills Community College
4059,Fond du Lac Tribal and Community College
4060,Northwest Indian College
4061,Provo College
4062,Paul Mitchell the School-Provo
4063,University of Phoenix-Utah
4064,CET-Coachella
4065,CET-Oxnard
4066,CET-Santa Maria
4067,Colorado School of Traditional Chinese Medicine
4068,Massage Therapy Institute of Colorado
4069,Michigan College of Beauty-Troy
4070,Ogle School Hair Skin Nails-Dallas
4071,Phoenix Seminary
4072,Faust Institute of Cosmetology-Spirit Lake
4073,Colorado School of Healing Arts
4074,Mt. Diablo Adult Education-Mt. Diablo USD
4075,Royale College of Beauty and Barbering
4076,Greater Lowell Technical School
4077,Academy of Hair Design-Pearl
4078,Genesis Career College-Lebanon
4079,Southwest Collegiate Institute for the Deaf
4080,Fortis College-Richmond
4081,Midwest College of Oriental Medicine-Racine
4082,Hacienda La Puente Adult Education
4083,La Belle Beauty Academy
4084,Hawaii Community College
4085,Robert Fiance Beauty Schools-North Plainfield
4086,Long Island Beauty School-Hauppauge
4087,Buckeye Joint Vocational School
4088,Sandusky Career Center
4089,Greater Altoona Career & Technology Center
4090,Central Texas Beauty College-Temple
4091,Erie 2 Chautauqua Cattaraugus BOCES-Practical Nursing Program
4092,Empire Beauty School-Brooklyn
4093,Houston Training School-Gulfgate
4094,Eastern New Mexico University Ruidoso Branch Community College
4095,United Education Institute-Ontario
4096,United Education Institute-Encino
4097,Beacon College
4098,Acupuncture and Integrative Medicine College-Berkeley
4099,Estrella Mountain Community College
4100,Heartland Community College
4101,University of the Potomac-Washington DC Campus
4102,Rabbi Jacob Joseph School
4103,The Salon Professional Academy-Melbourne
4104,Albert Einstein College of Medicine
4105,Fortis Institute-Scranton
4106,Milan Institute of Cosmetology
4107,Everglades University
4108,Seminar L'moros Bais Yaakov
4109,Herzing University-Orlando
4110,Cortiva Institute-Pompano
4111,College of Biblical Studies-Houston
4112,Inner State Beauty School
4113,Mid-EastCTC-Adult Education
4114,Polaris Career Center
4115,P&A Scholars Beauty School
4116,ASM Beauty World Academy
4117,Sharps Academy of Hair Styling
4118,The College of Health Care Professions-Northwest
4119,"School of Professional Horticulture, New York Botanical Garden"
4120,Watkins College of Art Design & Film
4121,Alhambra Beauty College
4122,UEI College-Gardena
4123,Asian-American International Beauty College
4124,Copper Mountain Community College
4125,Diversified Vocational College
4126,UEI College-Fresno
4127,Santiago Canyon College
4128,Southern California Institute of Technology
4129,Soka University of America
4130,Summit College
4131,Advance Beauty College
4132,Los Angeles Pacific College
4133,World Mission University
4134,Yo San University of Traditional Chinese Medicine
4135,Cannella School of Hair Design-Blue Island
4136,John Amico School of Hair Design
4137,Delta College Inc
4138,Southwest University of Visual Arts-Albuquerque
4139,Tri-State Cosmetology Institute
4140,Frontier Community College
4141,Lincoln Trail College
4142,Wabash Valley College
4143,American Institute of Interior Design
4144,Brookline College-Tempe
4145,Inter American University of Puerto Rico-School of Optometry
4146,Schiller International University
4147,Coconino Community College
4148,University System of Maryland-Research Centers
4149,Emma's Beauty Academy-Juana Diaz
4150,Brillare Beauty Institute
4151,Columbia Central University-Yauco
4152,Pima Medical Institute-Denver
4153,ASA College
4154,Ohio State School of Cosmetology-Heath
4155,Yeshivas Novominsk
4156,Southern Careers Institute-Corpus Christi
4157,Rabbinical College of Ohr Shimon Yisroel
4158,Carroll Community College
4159,University of Phoenix-New Mexico
4160,Galen College of Nursing-Tampa Bay
4161,Galen College of Nursing-San Antonio
4162,Sarasota School of Massage Therapy
4163,Schuyler Steuben Chemung Tioga Allegany BOCES
4164,Delaware Chenango Madison Otsego BOCES-Practical Nursing Program
4165,DCI Career Institute
4166,Central Susquehanna Intermediate Unit LPN Career
4167,Myotherapy College of Utah
4168,City College-Gainesville
4169,Arizona State University-West
4170,Cosmetology Training Center
4171,Stage One-The Hair School
4172,Empire Beauty School-Malden
4173,Xenon International Academy-Omaha
4174,Capri Institute of Hair Design-Brick
4175,Capri Institute of Hair Design-Kenilworth
4176,Capri Institute of Hair Design-Paramus
4177,Orlo School of Hair Design and Cosmetology
4178,Eastland-Fairfield Career and Technical Schools
4179,Empire Beauty School-Cincinnati
4180,Mahoning County Career and Technical Center
4181,Pickaway Ross Joint Vocational School District
4182,Pioneer Career and Technology Center
4183,Raphael's School of Beauty Culture Inc-Boardman
4184,Scioto County Career Technical Center
4185,Trumbull Career & Technical Center
4186,Pacific Bible College
4187,Lake Erie College of Osteopathic Medicine
4188,UCAS University of Cosmetology Arts & Sciences-Harlingen
4189,Empire Beauty School-Green Bay
4190,Warren County Career Center
4191,Paul Mitchell the School-Wichita
4192,Pinnacle Institute of Cosmetology
4193,Southern Careers Institute-Pharr
4194,Florida National University-Main Campus
4195,Georgia Institute of Cosmetology
4196,Nouvelle Institute
4197,Franklin Technology Center Adult Education
4198,Professional Technical Institution
4199,Erikson Institute
4200,South Texas College
4201,Tennessee Board of Regents
4202,Pike County Joint Vocational School District
4203,Lorain County Joint Vocational School District
4204,Roger Williams University School of Law
4205,California State University-Monterey Bay
4206,Ohio Media School-Valley View
4207,EINE Inc
4208,Marian Health Careers Center-Los Angeles Campus
4209,Cleveland Clinic Health System-School of Diagnostic Imaging
4210,Academy for Nursing and Health Occupations
4211,Shawsheen Valley School of Practical Nursing
4212,Shear Ego International School of Hair Design
4213,Remington College-Memphis Campus
4214,Fayette Institute of Technology
4215,Capella University
4216,College of Menominee Nation
4217,Leech Lake Tribal College
4218,Spartan College of Aeronautics & Technology
4219,Stone Academy-Waterbury
4220,East San Gabriel Valley Regional Occupational Program
4221,Yukon Beauty College Inc
4222,United Education Institute-Morrow
4223,Toni & Guy Hairdressing Academy-Atlanta
4224,Artistic Academy of Hair Design
4225,Motoring Technical Training Institute
4226,Mech-Tech College
4227,Baldwin Beauty School-North Austin
4228,Jean Madeline Aveda Institute
4229,Pacific College of Oriental Medicine-New York
4230,Johnson & Wales University-North Miami
4231,Tricoci University of Beauty Culture-Indianapolis
4232,Trine University-Regional/Non-Traditional Campuses
4233,Pennsylvania Highlands Community College
4234,Nevada Career Institute
4235,Phillips Theological Seminary
4236,Empire Beauty School-Hanover
4237,Industrial Management Training Institute
4238,Allen School-Jamaica
4239,Premiere Career College
4240,The University of Texas MD Anderson Cancer Center
4241,Paul Mitchell the School-Huntsville
4242,Estes Institute of Cosmetology Arts and Science
4243,Baldwin Park Adult & Community Education
4244,Ventura Adult and Continuing Education
4245,CT Aero Tech School
4246,Stratford School for Aviation Maintenance Technicians
4247,City College-Altamonte Springs
4248,Empire Beauty School-Dunwoody
4249,Career Center of Southern Illinois
4250,Crave Beauty Academy
4251,Hastings Beauty School
4252,Kirksville Area Technical Center
4253,South Central Career Center
4254,Saline County Career Center
4255,Warrensburg Area Career Center
4256,Cass Career Center
4257,Applied Technology Services
4258,Central College of Cosmetology
4259,Southeast Missouri Hospital College of Nursing and Health Sciences
4260,Messenger College
4261,Union County Vocational Technical School
4262,Prism Career Institute-Philadelphia
4263,Clinton Essex Warren Washington BOCES
4264,Jefferson Lewis BOCES-Practical Nursing Program
4265,Veeb Nassau County School of Practical Nursing
4266,Cattaraugus Allegany BOCES-Practical Nursing Program
4267,Orange Ulster BOCES-Practical Nursing Program
4268,Wayne Finger Lakes BOCES-Practical Nursing Program
4269,Broome Delaware Tioga BOCES-Practical Nursing Program
4270,Washington Saratoga Warren Hamilton Essex BOCES-Practical Nursing Program
4271,Albany BOCES-Adult Practical Nursing Program
4272,Ulster BOCES-School of Practical Nursing
4273,Eastern Suffolk BOCES
4274,Rockland County BOCES-Practical Nursing Program
4275,New York College of Health Professions
4276,Charles Stuart School of Diamond Setting
4277,Penta County Joint Vocational School
4278,Career and Technology Education Centers of Licking County
4279,Northern Career Institute
4280,Washington County Career Center-Adult Technical Training
4281,Ohio Media School-Cincinnati
4282,Vantage Career Center
4283,Indian Capital Technology Center-Muskogee
4284,Western Technology Center
4285,Mid-America Technology Center
4286,Northeast Technology Center-Pryor
4287,Eastern Oklahoma County Technology Center
4288,Wes Watkins Technology Center
4289,York County School of Technology-Adult & Continuing Education
4290,Chester County Intermediate Unit
4291,Jefferson County Dubois Area Vocational Technical Practical Nursing Program
4292,Greater Johnstown Career and Technology Center
4293,Mifflin County Academy of Science and Technology
4294,Lenape Technical School Practical Nursing Program
4295,Venango County Area Vocational Technical School
4296,Lancaster County Career and Technology Center
4297,Lebanon County Area Vocational Technical School
4298,Indiana County Technology Center
4299,Northern Tier Career Center
4300,Hazleton Area Career Center
4301,All-State Career School-Pittsburgh
4302,Quality Technical and Beauty College
4303,D'Mart Institute
4304,Automeca Technical College-Aguadilla
4305,North Central Institute
4306,Pipo Academy of Hair Design
4307,Tint School of Makeup and Cosmetology-Dallas
4308,United Technical Center
4309,Charles H McCann Technical School
4310,Central California School of Continuing Education
4311,Mercy Hospital School of Practical Nursing-Plantation General Hospital
4312,Rivertown School of Beauty Barber Skin Care and Nails
4313,Atlanta Institute of Music and Media
4314,Illinois Media School
4315,New Dimensions School of Hair Design
4316,Forbes Road Career and Technology Center
4317,Jna Institute of Culinary Arts
4318,Putnam Career and Technical Center
4319,Crawford County Career and Technical Center Practical Nursing Program
4320,Texas College of Cosmetology-San Angelo
4321,Automeca Technical College-Bayamon
4322,Automeca Technical College-Caguas
4323,Automeca Technical College-Ponce
4324,Centura College-Chesapeake
4325,University of Phoenix-Hawaii
4326,Prism Career Institute-Cherry Hill
